transaction_id,date,time,payment_app,transaction_type,category,amount_inr,sender_bank,receiver_bank,device_type,network_type,city,status,failure_reason,retry_attempted,response_time_ms
UPI2025000564,2025-05-07,05:41:12,PhonePe,P2P,Peer Transfer,2577.72,Axis Bank,Punjab National Bank,Android,WiFi,Mumbai,SUCCESS,N/A,N/A,2598
UPI2025000565,2025-06-03,09:20:38,PhonePe,P2P,Peer Transfer,4377.61,SBI,Yes Bank,Android,WiFi,Lucknow,SUCCESS,N/A,N/A,1297
UPI2025000566,2025-01-05,11:22:19,CRED,P2P,Peer Transfer,4903.36,Union Bank of India,HDFC Bank,iOS,5G,Patiala,SUCCESS,N/A,N/A,809
UPI2025000567,2025-04-23,08:46:57,PhonePe,P2M,Peer Transfer,366.26,Kotak Mahindra Bank,ICICI Bank,Android,4G,Noida,SUCCESS,N/A,N/A,817
UPI2025000568,2025-07-24,23:04:59,WhatsApp Pay,P2P,Peer Transfer,395.24,Kotak Mahindra Bank,HDFC Bank,Android,4G,Amritsar,SUCCESS,N/A,N/A,1451
UPI2025000569,2025-10-03,15:58:08,Google Pay,P2M,Grocery,36666.49,Kotak Mahindra Bank,Punjab National Bank,iOS,4G,Ahmedabad,SUCCESS,N/A,N/A,433
UPI2025000570,2025-10-15,13:01:50,Google Pay,P2M,Utility Bill,29589.36,Punjab National Bank,Punjab National Bank,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,1478
UPI2025000571,2025-07-11,20:41:15,Google Pay,P2M,Food Delivery,2771.58,Punjab National Bank,Canara Bank,Android,4G,Noida,SUCCESS,N/A,N/A,2242
UPI2025000572,2025-12-04,10:43:30,CRED,P2P,Peer Transfer,2284.49,HDFC Bank,Bank of Baroda,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,1326
UPI2025000573,2025-02-26,11:56:44,Google Pay,P2P,Peer Transfer,1894.05,ICICI Bank,SBI,Android,WiFi,Lucknow,FAILED,Incorrect UPI PIN,No,6619
UPI2025000574,2025-01-30,14:49:40,Google Pay,P2M,Education Fee,3311.93,HDFC Bank,IndusInd Bank,Android,4G,Ahmedabad,SUCCESS,N/A,N/A,2355
UPI2025000575,2025-09-29,17:06:34,PhonePe,P2P,Peer Transfer,453.98,ICICI Bank,SBI,Android,WiFi,Patiala,SUCCESS,N/A,N/A,201
UPI2025000576,2025-12-20,08:13:09,PhonePe,P2M,Education Fee,160.32,Axis Bank,Union Bank of India,iOS,5G,Bengaluru,SUCCESS,N/A,N/A,2167
UPI2025000577,2025-12-22,06:52:08,Amazon Pay,P2P,Peer Transfer,2320.37,Canara Bank,Bank of Baroda,Android,WiFi,Gurugram,SUCCESS,N/A,N/A,1317
UPI2025000578,2025-05-13,09:19:01,Paytm,P2P,Peer Transfer,345.87,HDFC Bank,Axis Bank,Android,5G,Ahmedabad,FAILED,Insufficient Balance,Yes,1085
UPI2025000579,2025-09-26,18:07:04,Google Pay,P2P,Peer Transfer,3387.8,Canara Bank,Kotak Mahindra Bank,Android,WiFi,Gurugram,SUCCESS,N/A,N/A,1476
UPI2025000580,2025-07-02,07:16:02,Google Pay,P2M,Food Delivery,377.96,Yes Bank,SBI,iOS,4G,Jalandhar,FAILED,Bank Server Down,Yes,1847
UPI2025000581,2025-11-25,18:17:37,PhonePe,P2M,Peer Transfer,221.69,ICICI Bank,Union Bank of India,Android,5G,Bengaluru,SUCCESS,N/A,N/A,1592
UPI2025000582,2025-10-24,01:13:45,Google Pay,P2M,Education Fee,371.56,Punjab National Bank,ICICI Bank,Android,5G,Jalandhar,SUCCESS,N/A,N/A,968
UPI2025000583,2025-11-27,17:23:44,PhonePe,P2M,Recharge/Bill Payment,204.83,Canara Bank,Yes Bank,iOS,3G,Patiala,FAILED,Incorrect UPI PIN,Yes,2656
UPI2025000584,2025-05-03,07:07:33,Google Pay,P2P,Peer Transfer,331.81,Bank of Baroda,IDBI Bank,Android,4G,Noida,FAILED,Incorrect UPI PIN,No,2492
UPI2025000585,2025-05-02,17:53:28,Google Pay,P2M,Travel,47.04,Kotak Mahindra Bank,Punjab National Bank,Android,4G,Noida,SUCCESS,N/A,N/A,3306
UPI2025000586,2025-05-23,09:43:31,Paytm,P2P,Peer Transfer,5679.98,Kotak Mahindra Bank,Canara Bank,Android,4G,Jaipur,SUCCESS,N/A,N/A,3006
UPI2025000587,2025-08-18,22:47:59,Amazon Pay,P2P,Peer Transfer,3542.12,ICICI Bank,HDFC Bank,Android,4G,Jaipur,FAILED,Network Connectivity Issue,No,2254
UPI2025000588,2025-04-19,18:49:37,PhonePe,P2P,Peer Transfer,302.86,Yes Bank,Kotak Mahindra Bank,Android,WiFi,Noida,SUCCESS,N/A,N/A,974
UPI2025000589,2025-02-27,18:06:07,Google Pay,P2M,Recharge/Bill Payment,4751.31,Canara Bank,Axis Bank,Android,5G,Mumbai,SUCCESS,N/A,N/A,2151
UPI2025000590,2025-01-11,22:24:38,Paytm,P2M,Food Delivery,353.56,ICICI Bank,Punjab National Bank,Android,5G,Gurugram,SUCCESS,N/A,N/A,606
UPI2025000591,2025-11-04,13:18:42,PhonePe,P2P,Peer Transfer,25261.44,Union Bank of India,Punjab National Bank,Android,5G,Ludhiana,SUCCESS,N/A,N/A,2811
UPI2025000592,2025-01-13,23:56:58,Google Pay,P2M,Entertainment,102.38,Canara Bank,Bank of Baroda,Android,4G,Bhopal,SUCCESS,N/A,N/A,1499
UPI2025000593,2025-10-30,11:45:10,PhonePe,P2M,Entertainment,2451.12,ICICI Bank,Punjab National Bank,Android,5G,Noida,SUCCESS,N/A,N/A,1681
UPI2025000594,2025-09-24,15:30:30,PhonePe,P2P,Peer Transfer,136.77,ICICI Bank,Union Bank of India,Android,5G,Jaipur,SUCCESS,N/A,N/A,2543
UPI2025000595,2025-05-17,18:18:20,Google Pay,P2P,Peer Transfer,298.83,IndusInd Bank,SBI,Android,WiFi,Ludhiana,SUCCESS,N/A,N/A,1347
UPI2025000596,2025-08-31,12:06:27,PhonePe,P2P,Peer Transfer,107.64,Bank of Baroda,Kotak Mahindra Bank,Android,4G,Ahmedabad,SUCCESS,N/A,N/A,2037
UPI2025000597,2025-12-20,17:55:19,Google Pay,P2P,Peer Transfer,131.7,ICICI Bank,SBI,Android,5G,Patiala,SUCCESS,N/A,N/A,1739
UPI2025000598,2025-12-17,13:01:44,PhonePe,P2P,Peer Transfer,369.04,SBI,Bank of Baroda,Android,5G,Noida,FAILED,Daily Transaction Limit Exceeded,Yes,3068
UPI2025000599,2025-07-15,19:42:21,Google Pay,P2M,E-commerce,4273.21,Punjab National Bank,Bank of Baroda,Android,WiFi,Mumbai,SUCCESS,N/A,N/A,1868
UPI2025000600,2025-07-28,09:16:03,Google Pay,P2M,Peer Transfer,3275.53,IndusInd Bank,Kotak Mahindra Bank,Android,4G,Bengaluru,SUCCESS,N/A,N/A,2468
UPI2025000601,2025-04-17,06:51:33,PhonePe,P2M,Utility Bill,21700.08,Axis Bank,Bank of Baroda,iOS,5G,Ahmedabad,SUCCESS,N/A,N/A,2765
UPI2025000602,2025-07-29,11:26:25,Google Pay,P2M,Education Fee,2158.02,Union Bank of India,Canara Bank,Android,4G,Gurugram,SUCCESS,N/A,N/A,3927
UPI2025000603,2025-08-13,14:42:52,Paytm,P2M,Education Fee,395.82,Canara Bank,Punjab National Bank,Android,WiFi,Patiala,SUCCESS,N/A,N/A,1254
UPI2025000604,2025-10-10,16:33:12,PhonePe,P2P,Peer Transfer,226.85,ICICI Bank,Axis Bank,Android,4G,Patiala,SUCCESS,N/A,N/A,3347
UPI2025000605,2025-12-01,19:04:40,Google Pay,P2M,Utility Bill,414.12,Kotak Mahindra Bank,Punjab National Bank,Android,5G,Pune,SUCCESS,N/A,N/A,1822
UPI2025000606,2025-02-14,08:01:15,Paytm,P2P,Peer Transfer,37.53,Punjab National Bank,Canara Bank,iOS,4G,Delhi,FAILED,Incorrect UPI PIN,Yes,660
UPI2025000607,2025-11-03,19:42:35,Google Pay,P2P,Peer Transfer,384.58,SBI,IDBI Bank,Android,WiFi,Mumbai,SUCCESS,N/A,N/A,1548
UPI2025000608,2025-04-26,20:57:26,Amazon Pay,P2M,Travel,1335.41,Yes Bank,Yes Bank,iOS,5G,Chandigarh,SUCCESS,N/A,N/A,1548
UPI2025000609,2025-08-10,18:59:07,PhonePe,P2P,Peer Transfer,408.92,IndusInd Bank,Union Bank of India,iOS,4G,Bengaluru,SUCCESS,N/A,N/A,823
UPI2025000610,2025-05-02,11:37:47,PhonePe,P2P,Peer Transfer,262.35,IDBI Bank,IDBI Bank,Android,4G,Amritsar,FAILED,Incorrect UPI PIN,Yes,2849
UPI2025000611,2025-12-02,16:31:34,PhonePe,P2P,Peer Transfer,18850.81,HDFC Bank,Bank of Baroda,Android,4G,Hyderabad,SUCCESS,N/A,N/A,1687
UPI2025000612,2025-12-30,08:30:45,PhonePe,P2M,Peer Transfer,2775.35,Punjab National Bank,SBI,Android,5G,Delhi,SUCCESS,N/A,N/A,2095
UPI2025000613,2025-11-03,17:16:35,PhonePe,P2P,Peer Transfer,60.26,Yes Bank,IDBI Bank,Android,4G,Pune,SUCCESS,N/A,N/A,2130
UPI2025000614,2025-05-31,00:25:59,CRED,P2P,Peer Transfer,4270.59,Punjab National Bank,Punjab National Bank,iOS,4G,Jalandhar,SUCCESS,N/A,N/A,1517
UPI2025000615,2025-03-04,20:40:20,Amazon Pay,P2M,Fuel,3247.46,Yes Bank,Kotak Mahindra Bank,iOS,WiFi,Noida,SUCCESS,N/A,N/A,2299
UPI2025000616,2025-06-10,21:21:45,PhonePe,P2M,Education Fee,122.5,HDFC Bank,ICICI Bank,Android,4G,Bhopal,SUCCESS,N/A,N/A,973
UPI2025000617,2025-06-26,17:48:03,Paytm,P2P,Peer Transfer,362.18,ICICI Bank,Yes Bank,Android,4G,Jalandhar,SUCCESS,N/A,N/A,1161
UPI2025000618,2025-05-02,15:07:10,Google Pay,P2M,Peer Transfer,1500.63,IDBI Bank,Yes Bank,Android,WiFi,Kolkata,SUCCESS,N/A,N/A,667
UPI2025000619,2025-12-06,18:16:11,Paytm,P2P,Peer Transfer,130.22,Bank of Baroda,Punjab National Bank,Android,4G,Jaipur,SUCCESS,N/A,N/A,2719
UPI2025000620,2025-12-10,15:01:01,Amazon Pay,P2M,Food Delivery,2430.25,Yes Bank,IndusInd Bank,iOS,4G,Amritsar,FAILED,Transaction Timeout,No,8676
UPI2025000621,2025-02-27,06:23:10,WhatsApp Pay,P2M,Travel,354.05,HDFC Bank,SBI,Android,WiFi,Noida,FAILED,Invalid VPA / Beneficiary Not Found,Yes,5155
UPI2025000622,2025-12-01,19:17:18,Paytm,P2P,Peer Transfer,270.93,Kotak Mahindra Bank,ICICI Bank,Android,4G,Ahmedabad,SUCCESS,N/A,N/A,2631
UPI2025000623,2025-03-15,13:26:50,Google Pay,P2P,Peer Transfer,175.23,Punjab National Bank,Punjab National Bank,Android,4G,Chennai,FAILED,Beneficiary Bank Server Down,No,6216
UPI2025000624,2025-09-27,12:13:45,PhonePe,P2M,Food Delivery,110.12,Kotak Mahindra Bank,IDBI Bank,Android,4G,Kolkata,SUCCESS,N/A,N/A,1588
UPI2025000625,2025-07-02,20:38:42,WhatsApp Pay,P2M,Grocery,398.45,IndusInd Bank,IDBI Bank,Android,5G,Jaipur,SUCCESS,N/A,N/A,3117
UPI2025000626,2025-06-03,17:08:57,PhonePe,P2P,Peer Transfer,134.1,IndusInd Bank,ICICI Bank,Android,WiFi,Chennai,FAILED,Incorrect UPI PIN,Yes,6493
UPI2025000627,2025-02-25,10:20:02,CRED,P2M,Travel,419.7,Canara Bank,Punjab National Bank,Android,WiFi,Hyderabad,SUCCESS,N/A,N/A,2786
UPI2025000628,2025-06-19,20:20:47,CRED,P2M,Utility Bill,1325.49,ICICI Bank,Union Bank of India,Android,4G,Jalandhar,FAILED,Incorrect UPI PIN,Yes,3248
UPI2025000629,2025-04-12,08:29:27,Google Pay,P2P,Peer Transfer,840.65,Canara Bank,SBI,iOS,5G,Chennai,SUCCESS,N/A,N/A,1761
UPI2025000630,2025-11-25,18:09:07,PhonePe,P2P,Peer Transfer,42.82,Axis Bank,Punjab National Bank,Android,5G,Hyderabad,SUCCESS,N/A,N/A,1852
UPI2025000631,2025-09-15,16:37:00,PhonePe,P2P,Peer Transfer,484.35,IndusInd Bank,ICICI Bank,Android,WiFi,Bengaluru,SUCCESS,N/A,N/A,2880
UPI2025000632,2025-01-11,11:43:07,PhonePe,P2M,Recharge/Bill Payment,222.4,IndusInd Bank,HDFC Bank,Android,5G,Noida,SUCCESS,N/A,N/A,1357
UPI2025000633,2025-04-15,16:00:21,WhatsApp Pay,P2M,Medical/Pharmacy,117.85,Yes Bank,IndusInd Bank,iOS,3G,Chandigarh,FAILED,Insufficient Balance,No,3290
UPI2025000634,2025-05-06,19:47:04,PhonePe,P2P,Peer Transfer,364.14,IndusInd Bank,Kotak Mahindra Bank,Android,4G,Jaipur,FAILED,NPCI Server Error,Yes,200
UPI2025000635,2025-10-30,12:41:48,WhatsApp Pay,P2P,Peer Transfer,116.66,ICICI Bank,HDFC Bank,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,2338
UPI2025000636,2025-08-23,08:42:06,BHIM,P2P,Peer Transfer,278.73,Union Bank of India,Axis Bank,iOS,5G,Patiala,FAILED,Bank Server Down,Yes,5836
UPI2025000637,2025-03-14,13:27:05,Google Pay,P2M,Utility Bill,393.16,Bank of Baroda,Canara Bank,Android,4G,Noida,SUCCESS,N/A,N/A,2168
UPI2025000638,2025-09-09,14:18:29,PhonePe,P2P,Peer Transfer,314.03,Canara Bank,Punjab National Bank,Android,WiFi,Pune,SUCCESS,N/A,N/A,1025
UPI2025000639,2025-04-25,15:35:04,Amazon Pay,P2P,Peer Transfer,3874.9,Union Bank of India,HDFC Bank,Android,5G,Hyderabad,SUCCESS,N/A,N/A,3329
UPI2025000640,2025-08-16,06:32:01,Google Pay,P2P,Peer Transfer,445.67,Yes Bank,Canara Bank,Android,4G,Mumbai,SUCCESS,N/A,N/A,2764
UPI2025000641,2025-10-01,11:37:46,PhonePe,P2M,Fuel,242.22,Yes Bank,Canara Bank,Android,WiFi,Amritsar,FAILED,Insufficient Balance,No,2320
UPI2025000642,2025-04-11,20:06:27,PhonePe,P2P,Peer Transfer,115.31,SBI,Kotak Mahindra Bank,Android,5G,Jaipur,SUCCESS,N/A,N/A,1093
UPI2025000643,2025-10-17,16:31:19,PhonePe,P2M,Rent,102.08,IndusInd Bank,Bank of Baroda,Android,WiFi,Mumbai,FAILED,Insufficient Balance,Yes,5521
UPI2025000644,2025-01-07,17:12:54,Google Pay,P2P,Peer Transfer,400.16,Canara Bank,Yes Bank,Android,WiFi,Bhopal,FAILED,Incorrect UPI PIN,Yes,6561
UPI2025000645,2025-07-04,13:07:10,Amazon Pay,P2P,Peer Transfer,470.14,IDBI Bank,IDBI Bank,Android,4G,Chennai,SUCCESS,N/A,N/A,2337
UPI2025000646,2025-03-20,11:53:53,PhonePe,P2P,Peer Transfer,3178.86,Bank of Baroda,SBI,iOS,4G,Patiala,SUCCESS,N/A,N/A,946
UPI2025000647,2025-10-14,15:46:35,CRED,P2P,Peer Transfer,409.32,SBI,Canara Bank,Android,5G,Noida,SUCCESS,N/A,N/A,2034
UPI2025000648,2025-01-24,15:27:36,Google Pay,P2M,Travel,190.49,HDFC Bank,Punjab National Bank,iOS,4G,Lucknow,SUCCESS,N/A,N/A,1315
UPI2025000649,2025-06-19,02:18:46,Google Pay,P2P,Peer Transfer,26.5,Bank of Baroda,Canara Bank,Android,WiFi,Kolkata,SUCCESS,N/A,N/A,1885
UPI2025000650,2025-11-28,19:42:29,Google Pay,P2M,Travel,168.28,Punjab National Bank,IDBI Bank,iOS,5G,Lucknow,SUCCESS,N/A,N/A,1562
UPI2025000651,2025-11-07,22:10:39,Google Pay,P2P,Peer Transfer,4982.71,IDBI Bank,IDBI Bank,Android,4G,Amritsar,SUCCESS,N/A,N/A,2222
UPI2025000652,2025-02-09,18:31:19,Google Pay,P2M,Medical/Pharmacy,42.96,Union Bank of India,SBI,iOS,4G,Amritsar,FAILED,NPCI Server Error,Yes,1428
UPI2025000653,2025-11-10,06:27:07,PhonePe,P2P,Peer Transfer,43611.05,HDFC Bank,Union Bank of India,Android,4G,Lucknow,SUCCESS,N/A,N/A,884
UPI2025000654,2025-10-27,20:17:57,Google Pay,P2M,Food Delivery,20.99,IDBI Bank,Union Bank of India,Android,WiFi,Chennai,SUCCESS,N/A,N/A,1580
UPI2025000655,2025-11-23,18:06:50,PhonePe,P2P,Peer Transfer,163.26,HDFC Bank,Union Bank of India,Android,5G,Jalandhar,SUCCESS,N/A,N/A,2359
UPI2025000656,2025-03-02,18:45:28,Paytm,P2M,Recharge/Bill Payment,675.22,Canara Bank,IDBI Bank,Android,4G,Chandigarh,FAILED,Incorrect UPI PIN,No,7157
UPI2025000657,2025-10-26,18:15:53,BHIM,P2P,Peer Transfer,286.06,Bank of Baroda,Punjab National Bank,Android,4G,Patiala,SUCCESS,N/A,N/A,1930
UPI2025000658,2025-09-16,10:48:48,PhonePe,P2M,Travel,380.8,Axis Bank,ICICI Bank,iOS,WiFi,Gurugram,SUCCESS,N/A,N/A,1821
UPI2025000659,2025-05-21,21:28:09,Paytm,P2M,Food Delivery,46768.19,IDBI Bank,Union Bank of India,Android,4G,Amritsar,SUCCESS,N/A,N/A,2130
UPI2025000660,2025-06-02,18:42:59,Paytm,P2M,Rent,4980.34,IndusInd Bank,SBI,Android,WiFi,Ahmedabad,SUCCESS,N/A,N/A,200
UPI2025000661,2025-12-11,17:35:55,Google Pay,P2M,Grocery,404.16,IDBI Bank,Bank of Baroda,iOS,WiFi,Chandigarh,SUCCESS,N/A,N/A,3558
UPI2025000662,2025-06-23,17:56:34,Paytm,P2P,Peer Transfer,341.99,IndusInd Bank,Yes Bank,Android,WiFi,Jaipur,SUCCESS,N/A,N/A,1344
UPI2025000663,2025-12-09,11:02:34,PhonePe,P2M,Recharge/Bill Payment,3608.98,IDBI Bank,IDBI Bank,Android,5G,Jalandhar,FAILED,Transaction Timeout,Yes,3015
UPI2025000664,2025-10-22,16:01:01,Amazon Pay,P2P,Peer Transfer,3196.86,Union Bank of India,IndusInd Bank,iOS,4G,Patiala,SUCCESS,N/A,N/A,1363
UPI2025000665,2025-02-12,18:53:23,Google Pay,P2P,Peer Transfer,233.03,Union Bank of India,Bank of Baroda,Android,WiFi,Chennai,SUCCESS,N/A,N/A,3198
UPI2025000666,2025-10-14,00:21:15,BHIM,P2M,Utility Bill,420.7,IndusInd Bank,IndusInd Bank,Android,WiFi,Pune,SUCCESS,N/A,N/A,2568
UPI2025000667,2025-04-21,17:52:45,PhonePe,P2P,Peer Transfer,249.36,ICICI Bank,IDBI Bank,Android,4G,Gurugram,SUCCESS,N/A,N/A,2147
UPI2025000668,2025-11-16,18:29:06,Google Pay,P2P,Peer Transfer,295.76,Kotak Mahindra Bank,Kotak Mahindra Bank,Android,WiFi,Noida,FAILED,Insufficient Balance,No,4091
UPI2025000669,2025-06-06,16:33:49,PhonePe,P2P,Peer Transfer,2405.01,Punjab National Bank,IndusInd Bank,Android,4G,Noida,SUCCESS,N/A,N/A,782
UPI2025000670,2025-06-11,19:09:32,Google Pay,P2P,Peer Transfer,4487.42,IDBI Bank,Canara Bank,Android,WiFi,Bengaluru,SUCCESS,N/A,N/A,2360
UPI2025000671,2025-06-26,14:47:10,WhatsApp Pay,P2M,Travel,150.39,Bank of Baroda,HDFC Bank,Android,4G,Ahmedabad,FAILED,Insufficient Balance,Yes,5006
UPI2025000672,2025-05-26,11:31:01,Paytm,P2P,Peer Transfer,486.96,ICICI Bank,IndusInd Bank,iOS,4G,Ahmedabad,FAILED,Network Connectivity Issue,Yes,6140
UPI2025000673,2025-02-17,15:04:55,Google Pay,P2P,Peer Transfer,801.57,Canara Bank,IndusInd Bank,Android,4G,Jaipur,SUCCESS,N/A,N/A,1614
UPI2025000674,2025-10-07,19:08:48,Google Pay,P2M,Utility Bill,44.81,Yes Bank,Canara Bank,Android,WiFi,Kolkata,FAILED,Transaction Timeout,No,3006
UPI2025000675,2025-05-31,10:25:21,PhonePe,P2M,Utility Bill,141.6,Yes Bank,Canara Bank,Android,4G,Ludhiana,SUCCESS,N/A,N/A,1744
UPI2025000676,2025-11-06,18:19:35,Paytm,P2P,Peer Transfer,146.4,Yes Bank,Union Bank of India,iOS,5G,Delhi,SUCCESS,N/A,N/A,2231
UPI2025000677,2025-07-22,09:30:32,Amazon Pay,P2M,Recharge/Bill Payment,123.93,HDFC Bank,Yes Bank,iOS,4G,Jalandhar,SUCCESS,N/A,N/A,1389
UPI2025000678,2025-10-02,19:37:28,Google Pay,P2P,Peer Transfer,113.15,Union Bank of India,IndusInd Bank,Android,5G,Ludhiana,SUCCESS,N/A,N/A,1963
UPI2025000679,2025-03-12,13:55:33,Google Pay,P2P,Peer Transfer,433.68,Punjab National Bank,HDFC Bank,Android,4G,Chandigarh,FAILED,Invalid VPA / Beneficiary Not Found,Yes,5646
UPI2025000680,2025-06-08,17:03:39,WhatsApp Pay,P2M,Fuel,403.86,ICICI Bank,SBI,Android,4G,Patiala,SUCCESS,N/A,N/A,200
UPI2025000681,2025-04-11,12:52:57,Google Pay,P2M,Peer Transfer,80.6,Axis Bank,Axis Bank,Android,5G,Gurugram,SUCCESS,N/A,N/A,1727
UPI2025000682,2025-02-14,10:20:29,PhonePe,P2P,Peer Transfer,160.17,HDFC Bank,Canara Bank,Android,WiFi,Ludhiana,SUCCESS,N/A,N/A,1050
UPI2025000683,2025-08-16,17:15:48,PhonePe,P2M,Entertainment,3762.53,ICICI Bank,Punjab National Bank,Android,5G,Jalandhar,SUCCESS,N/A,N/A,2233
UPI2025000684,2025-02-25,12:10:50,Google Pay,P2P,Peer Transfer,42804.86,Kotak Mahindra Bank,Union Bank of India,Android,5G,Ahmedabad,SUCCESS,N/A,N/A,2131
UPI2025000685,2025-03-07,00:59:58,PhonePe,P2M,Travel,445.86,IndusInd Bank,Punjab National Bank,iOS,WiFi,Jalandhar,SUCCESS,N/A,N/A,1752
UPI2025000686,2025-07-18,11:10:47,PhonePe,P2P,Peer Transfer,4272.04,HDFC Bank,Punjab National Bank,Android,WiFi,Bhopal,SUCCESS,N/A,N/A,3333
UPI2025000687,2025-12-08,13:39:32,WhatsApp Pay,P2M,Utility Bill,1977.05,Bank of Baroda,Yes Bank,Android,WiFi,Chennai,SUCCESS,N/A,N/A,1580
UPI2025000688,2025-09-15,23:21:13,PhonePe,P2P,Peer Transfer,476.21,IndusInd Bank,Bank of Baroda,Android,5G,Ludhiana,SUCCESS,N/A,N/A,1530
UPI2025000689,2025-01-02,20:43:11,PhonePe,P2P,Peer Transfer,249.92,IDBI Bank,IDBI Bank,Android,4G,Mumbai,SUCCESS,N/A,N/A,3129
UPI2025000690,2025-12-13,19:42:28,Paytm,P2M,Medical/Pharmacy,79.2,Bank of Baroda,Kotak Mahindra Bank,Android,WiFi,Ludhiana,FAILED,Bank Server Down,Yes,2164
UPI2025000691,2025-01-04,09:01:48,Google Pay,P2P,Peer Transfer,117.17,IDBI Bank,Bank of Baroda,Android,5G,Pune,SUCCESS,N/A,N/A,805
UPI2025000692,2025-07-11,22:02:17,PhonePe,P2M,Grocery,193.53,IDBI Bank,IDBI Bank,Android,WiFi,Jaipur,FAILED,Incorrect UPI PIN,Yes,4941
UPI2025000693,2025-03-08,15:42:47,PhonePe,P2M,Food Delivery,282.82,Yes Bank,IndusInd Bank,Android,5G,Chandigarh,SUCCESS,N/A,N/A,807
UPI2025000694,2025-08-10,19:56:33,Paytm,P2M,Grocery,116.92,Punjab National Bank,Axis Bank,iOS,5G,Bhopal,SUCCESS,N/A,N/A,2413
UPI2025000695,2025-09-22,15:29:00,WhatsApp Pay,P2M,Grocery,4418.01,Yes Bank,Yes Bank,iOS,4G,Patiala,SUCCESS,N/A,N/A,1226
UPI2025000696,2025-09-22,14:31:23,PhonePe,P2P,Peer Transfer,234.58,SBI,IDBI Bank,Android,4G,Chennai,SUCCESS,N/A,N/A,2212
UPI2025000697,2025-06-02,09:05:56,PhonePe,P2P,Peer Transfer,461.16,SBI,IDBI Bank,Android,WiFi,Pune,FAILED,Bank Server Down,Yes,5084
UPI2025000698,2025-08-31,07:30:27,BHIM,P2M,Fuel,239.35,IndusInd Bank,Yes Bank,Android,5G,Kolkata,SUCCESS,N/A,N/A,1631
UPI2025000699,2025-11-16,11:50:15,WhatsApp Pay,P2P,Peer Transfer,31860.98,IndusInd Bank,IndusInd Bank,Android,4G,Bengaluru,FAILED,Insufficient Balance,Yes,3447
UPI2025000700,2025-05-02,20:44:04,Paytm,P2P,Peer Transfer,415.5,SBI,Canara Bank,Android,4G,Bengaluru,SUCCESS,N/A,N/A,3049
UPI2025000701,2025-08-06,05:54:24,PhonePe,P2P,Peer Transfer,32680.81,IndusInd Bank,Kotak Mahindra Bank,Android,5G,Ludhiana,SUCCESS,N/A,N/A,2257
UPI2025000702,2025-06-30,19:56:39,PhonePe,P2M,Grocery,34.62,Bank of Baroda,Yes Bank,Android,4G,Jalandhar,FAILED,Insufficient Balance,No,12352
UPI2025000703,2025-08-19,18:12:57,PhonePe,P2P,Peer Transfer,421.2,Yes Bank,Union Bank of India,Android,5G,Chennai,FAILED,Insufficient Balance,Yes,3360
UPI2025000704,2025-02-19,11:27:32,WhatsApp Pay,P2M,Education Fee,308.08,Bank of Baroda,Punjab National Bank,Android,4G,Ahmedabad,SUCCESS,N/A,N/A,2096
UPI2025000705,2025-04-24,12:00:33,PhonePe,P2P,Peer Transfer,402.71,Yes Bank,ICICI Bank,Android,WiFi,Delhi,SUCCESS,N/A,N/A,1142
UPI2025000706,2025-03-17,22:40:58,Google Pay,P2P,Peer Transfer,341.92,HDFC Bank,Bank of Baroda,Android,5G,Chennai,SUCCESS,N/A,N/A,2482
UPI2025000707,2025-05-09,19:36:21,PhonePe,P2P,Peer Transfer,42.42,Kotak Mahindra Bank,Bank of Baroda,Android,WiFi,Delhi,SUCCESS,N/A,N/A,1153
UPI2025000708,2025-12-24,00:14:44,Google Pay,P2P,Peer Transfer,635.47,IndusInd Bank,Axis Bank,Android,WiFi,Kolkata,SUCCESS,N/A,N/A,2470
UPI2025000709,2025-05-26,09:11:52,CRED,P2P,Peer Transfer,1694.73,Bank of Baroda,SBI,Android,4G,Ahmedabad,SUCCESS,N/A,N/A,2582
UPI2025000710,2025-09-03,16:48:23,Google Pay,P2P,Peer Transfer,474.11,SBI,Axis Bank,Android,WiFi,Amritsar,SUCCESS,N/A,N/A,1390
UPI2025000711,2025-08-04,10:12:01,Google Pay,P2P,Peer Transfer,4835.12,Punjab National Bank,HDFC Bank,Android,4G,Bengaluru,SUCCESS,N/A,N/A,2588
UPI2025000712,2025-03-23,11:15:23,BHIM,P2M,Peer Transfer,495.15,Yes Bank,ICICI Bank,iOS,WiFi,Mumbai,FAILED,NPCI Server Error,Yes,7445
UPI2025000713,2025-03-15,09:24:44,PhonePe,P2M,E-commerce,1674.72,IndusInd Bank,Kotak Mahindra Bank,iOS,WiFi,Jalandhar,SUCCESS,N/A,N/A,2376
UPI2025000714,2025-04-25,18:20:15,Google Pay,P2M,Peer Transfer,40.29,Punjab National Bank,ICICI Bank,iOS,4G,Mumbai,SUCCESS,N/A,N/A,1628
UPI2025000715,2025-11-04,17:04:10,PhonePe,P2P,Peer Transfer,83.73,Yes Bank,Union Bank of India,Android,4G,Lucknow,SUCCESS,N/A,N/A,1631
UPI2025000716,2025-07-07,18:31:30,Google Pay,P2M,Peer Transfer,334.34,Kotak Mahindra Bank,Yes Bank,Android,4G,Jalandhar,SUCCESS,N/A,N/A,332
